amazed-suprised,happy-pleased,relaxing-clam,quiet-still,sad-lonely,angry-aggresive
1,0,0,0,0,1
0,0,0,0,1,0
0,1,1,0,0,0
0,0,0,0,1,0
0,0,1,0,1,0
1,0,0,0,0,1
0,0,1,1,1,0
0,0,0,0,1,1
0,0,1,1,1,0
0,1,1,1,0,0
0,0,1,1,1,0
1,1,0,0,0,0
1,0,0,0,1,1
1,0,0,0,0,1
0,0,1,1,1,0
0,0,1,0,0,0
0,0,0,1,1,0
1,1,0,0,0,0
0,1,1,0,0,0
1,1,0,0,0,1
0,0,1,1,1,0
1,0,0,0,0,1
1,0,0,0,1,0
0,0,1,1,1,0
0,0,1,1,1,0
0,0,1,1,1,0
0,0,0,0,0,1
1,1,0,0,0,0
0,1,1,0,0,0
0,0,1,1,1,0
0,0,0,0,1,1
0,0,1,0,0,0
0,1,1,0,0,0
1,1,0,0,0,0
0,0,0,1,1,0
0,0,1,1,0,0
0,0,1,0,0,0
0,1,0,0,0,1
0,0,0,0,0,1
1,0,0,0,0,1
0,0,1,0,1,0
0,0,1,0,1,0
0,0,0,1,1,0
0,0,0,1,1,0
0,0,1,1,1,0
1,0,0,0,0,1
1,0,0,0,0,1
0,1,0,0,0,0
0,1,1,0,0,0
0,0,0,0,0,1
0,0,1,1,1,0
0,0,0,1,1,0
0,0,1,0,0,0
0,0,0,1,1,0
1,1,0,0,0,1
1,1,0,0,0,0
0,0,0,1,1,0
0,1,1,0,0,0
0,0,0,1,1,0
0,0,1,0,0,0
0,0,0,1,1,0
1,1,0,0,0,0
1,0,0,0,0,1
0,1,1,0,0,0
0,0,1,0,0,0
0,1,1,0,0,0
0,0,1,1,1,0
1,0,0,0,0,1
0,0,1,1,1,0
1,1,1,0,0,0
0,1,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,1,1,0
0,1,0,0,0,1
1,1,0,0,0,0
0,0,1,0,0,0
0,0,1,1,0,0
0,0,0,1,1,0
0,0,1,1,0,0
0,0,1,0,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,1,1,0,0,0
0,0,0,0,1,0
1,0,0,0,0,1
0,0,1,1,1,0
1,0,0,0,0,1
1,0,0,0,1,0
0,0,1,1,1,0
0,1,1,0,0,0
1,0,0,0,0,1
0,1,1,0,0,0
0,0,0,1,1,0
1,1,0,0,0,0
0,0,0,0,0,1
1,0,0,0,0,1
0,0,0,0,1,1
0,1,0,0,0,0
0,0,0,1,1,0
0,1,1,0,0,0
0,0,0,1,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,1,1,0,0,0
0,0,1,1,1,0
0,1,1,0,0,0
0,0,1,0,0,0
1,1,1,0,0,0
0,0,0,0,1,0
1,1,0,0,0,0
0,0,0,0,0,1
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,1,0
1,0,0,0,0,1
0,0,1,1,1,0
0,0,1,1,1,0
0,0,0,0,0,1
0,1,1,0,0,0
0,0,0,0,0,1
0,1,1,0,0,0
1,0,0,0,0,1
1,0,0,0,0,1
0,0,1,0,0,0
1,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,1,1,0
0,0,1,1,0,0
1,0,0,0,0,1
0,0,0,1,1,0
0,1,1,0,0,0
0,0,1,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
1,1,0,0,0,0
0,1,1,0,0,0
0,0,0,1,1,0
0,1,1,0,0,0
0,0,0,1,1,0
1,0,0,0,0,1
0,0,1,0,0,0
1,0,0,0,0,0
0,0,1,1,0,0
0,0,0,0,0,1
1,0,0,0,0,0
0,0,0,1,1,0
0,1,1,0,0,0
0,0,1,1,0,0
0,1,1,0,0,0
1,0,0,0,1,1
1,1,0,0,0,1
0,0,0,0,1,0
0,1,0,0,0,0
1,1,0,0,0,1
0,1,1,0,0,0
1,1,0,0,0,0
0,0,0,0,0,1
0,1,1,0,0,0
0,1,0,0,0,0
0,0,1,1,1,0
0,0,0,0,1,1
0,0,0,0,1,1
1,1,0,0,0,0
0,0,1,0,1,0
0,1,1,0,0,0
1,1,1,0,0,0
0,0,0,1,1,0
0,0,1,0,0,0
0,0,0,1,1,0
0,0,1,1,1,0
0,0,1,0,1,1
1,0,0,0,0,1
0,0,1,1,1,0
0,0,1,1,0,0
0,0,1,1,1,0
0,0,1,1,1,0
1,0,0,0,0,1
0,0,1,1,0,0
1,1,0,0,0,0
0,0,1,0,0,0
0,0,1,1,0,0
0,0,0,0,1,1
1,1,1,0,0,0
0,0,1,1,1,0
1,1,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,1
1,0,0,0,1,1
1,1,0,0,0,0
0,1,1,0,0,0
0,0,1,1,1,0
0,1,1,0,0,0
1,0,0,0,0,1
0,0,1,1,1,0
1,0,0,0,1,1
0,0,1,1,1,0
0,1,1,0,0,0
0,1,0,0,0,0
